age,sex,race,education,employment,income,avebooks,readprint,readaudio,readebook,borrowed,lib, bought, other, news, mags, total
16 to 26,Female,Asian or Pacific Islander,College graduate,Not employed for pay,$10k to under $20k,5,1,0,1,1,0,0,0,1,1,1
16 to 26,Male,Asian or Pacific Islander,College graduate,Not employed for pay,$20k to under $30k,2,1,0,0,1,0,0,0,1,0,1
16 to 26,Male,Asian or Pacific Islander,Some college,Employed full-time,Less than $10k,40,1,0,0,0,0,1,0,0,0,1
16 to 26,Male,Asian or Pacific Islander,Some college,Employed full-time,$20k to under $30k,50,1,0,1,0,0,1,0,1,0,1
16 to 26,Female,Asian or Pacific Islander,Some college,Employed full-time,$40k to under $50k,4,1,0,0,0,0,1,0,0,1,1
16 to 26,Female,Asian or Pacific Islander,Some college,Not employed for pay,$100k to under $150k,5,1,0,0,0,0,1,0,0,1,1
16 to 26,Female,Asian or Pacific Islander,Some college,Student,$30k to under $40k,11,2,0,2,0,1,1,0,1,0,2
16 to 26,Male,Asian or Pacific Islander,Post-graduate training/professional school,Employed full-time,$100k to under $150k,1,1,0,0,0,0,1,0,1,0,1
16 to 26,Male,Other,High school incomplete,Employed part-time,$30k to under $40k,27,2,0,0,0,0,2,0,0,2,2
16 to 26,Male,Other,High school incomplete,Employed part-time,$40k to under $50k,20,1,0,0,0,0,1,0,0,1,1
16 to 26,Female,Other,High school incomplete,Employed part-time,$100k to under $150k,12,1,0,1,0,0,1,0,1,1,1
16 to 26,Male,Other,High school incomplete,Not employed for pay,$30k to under $40k,6,1,1,1,0,0,0,1,1,1,1
16 to 26,Male,Other,High school incomplete,Not employed for pay,$50k to under $75k,5,1,0,0,0,1,0,0,1,0,1
16 to 26,Female,Other,High school incomplete,Not employed for pay,$100k to under $150k,6,2,0,0,0,1,1,0,1,0,2
16 to 26,Female,Other,High school incomplete,Student,$100k to under $150k,3,1,1,1,1,0,0,1,1,2,2
16 to 26,Female,Other,High school graduate,Employed part-time,Less than $10k,3,0,0,1,0,1,0,0,0,0,1
16 to 26,Male,Other,High school graduate,Employed part-time,$10k to under $20k,5,0,0,0,0,1,0,0,0,0,1
16 to 26,Female,Other,High school graduate,Employed part-time,$30k to under $40k,10,1,0,0,0,1,0,0,0,1,1
16 to 26,Male,Other,High school graduate,Employed part-time,$100k to under $150k,3,1,1,0,0,1,0,0,1,0,1
16 to 26,Male,Other,High school graduate,Employed full-time,$30k to under $40k,7,1,0,1,0,0,1,0,0,0,1
16 to 26,Male,Other,High school graduate,Employed full-time,$50k to under $75k,8,2,0,1,2,0,0,0,1,2,2
16 to 26,Female,Other,High school graduate,Not employed for pay,Less than $10k,4,2,0,0,1,0,1,0,1,2,2
16 to 26,Male,Other,High school graduate,Not employed for pay,$100k to under $150k,2,1,0,0,0,0,0,1,0,0,1
16 to 26,Female,Other,College graduate,Not employed for pay,$20k to under $30k,25,1,0,0,0,0,1,0,0,0,1
16 to 26,Male,Other,College graduate,Student,$20k to under $30k,30,1,0,1,0,0,1,0,0,0,1
16 to 26,Female,Other,Some college,Employed part-time,$50k to under $75k,3,1,1,1,0,0,0,1,0,0,1
16 to 26,Female,Other,Some college,Employed part-time,$75k to under $100k,2,1,0,0,0,0,1,0,0,0,1
16 to 26,Female,Other,Some college,Employed full-time,$100k to under $150k,30,1,0,1,0,0,1,0,1,1,1
16 to 26,Female,Other,Some college,Not employed for pay,$10k to under $20k,5,1,0,0,0,0,1,0,0,0,1
16 to 26,Male,Other,Some college,Not employed for pay,$20k to under $30k,47,1,0,1,0,0,0,1,0,1,1
27 to 37,Male,White,High school incomplete,Employed full-time,$40k to under $50k,48,1,0,0,0,0,1,0,1,1,2
27 to 37,Male,White,High school incomplete,Employed full-time,$75k to under $100k,50,1,1,1,0,0,1,0,0,0,1
27 to 37,Female,White,High school incomplete,Employed full-time,$100k to under $150k,2,1,0,0,1,0,0,0,0,0,1
27 to 37,Female,White,High school incomplete,Not employed for pay,Less than $10k,4,3,0,0,1,0,1,1,1,1,4
27 to 37,Female,White,High school incomplete,Not employed for pay,$20k to under $30k,5,1,0,0,0,0,1,0,0,0,1
27 to 37,Male,White,High school incomplete,Disabled,$100k to under $150k,50,1,0,0,1,0,0,0,1,0,1
27 to 37,Male,White,High school graduate,Retired,$10k to under $20k,5,0,1,1,0,0,1,0,0,1,1
27 to 37,Male,White,High school graduate,Employed part-time,Less than $10k,1,1,0,0,1,0,0,0,0,0,1
27 to 37,Male,White,High school graduate,Employed part-time,$10k to under $20k,30,2,1,1,0,0,2,0,0,1,2
27 to 37,Male,White,High school graduate,Employed part-time,$20k to under $30k,10,1,0,0,0,0,1,0,1,1,1
27 to 37,Female,White,High school graduate,Employed part-time,$40k to under $50k,7,2,0,1,1,0,1,0,0,1,2
27 to 37,Female,White,High school graduate,Employed part-time,$100k to under $150k,30,1,0,1,0,1,0,0,0,0,1
27 to 37,Female,White,High school graduate,Employed full-time,$10k to under $20k,2,1,0,0,0,0,1,0,0,1,1
27 to 37,Male,White,High school graduate,Employed full-time,$10k to under $20k,1,1,0,0,1,0,0,0,0,0,3
27 to 37,Female,White,High school graduate,Employed full-time,$20k to under $30k,20,3,1,0,0,2,1,0,1,2,3
27 to 37,Male,White,High school graduate,Employed full-time,$20k to under $30k,3,3,0,1,1,1,1,0,0,1,4
27 to 37,Female,White,High school graduate,Employed full-time,$30k to under $40k,5,4,0,2,1,0,3,0,3,2,4
27 to 37,Male,White,High school graduate,Employed full-time,$40k to under $50k,20,5,1,1,2,0,2,1,1,2,6
27 to 37,Female,White,High school graduate,Employed full-time,$50k to under $75k,12,1,0,0,0,0,0,1,0,1,1
27 to 37,Male,White,High school graduate,Employed full-time,$50k to under $75k,8,5,1,2,1,0,3,2,3,1,7
27 to 37,Male,White,High school graduate,Employed full-time,$75k to under $100k,9,2,1,2,0,0,2,1,2,2,3
27 to 37,Female,White,High school graduate,Employed full-time,$100k to under $150k,5,2,0,0,0,0,2,0,1,1,2
27 to 37,Male,White,High school graduate,Employed full-time,$100k to under $150k,4,2,0,0,0,0,2,1,2,3,5
27 to 37,Female,White,High school graduate,Not employed for pay,Less than $10k,7,2,0,0,0,0,2,1,1,1,3
27 to 37,Male,White,High school graduate,Not employed for pay,Less than $10k,1,1,0,0,1,0,0,0,1,0,2
27 to 37,Male,White,High school graduate,Not employed for pay,$10k to under $20k,48,1,0,1,0,0,1,0,1,1,2
27 to 37,Female,White,High school graduate,Not employed for pay,$20k to under $30k,8,1,0,0,0,0,1,0,0,0,1
27 to 37,Female,White,High school graduate,Not employed for pay,$30k to under $40k,97,1,0,0,0,0,1,0,1,0,1
27 to 37,Male,White,High school graduate,Not employed for pay,$30k to under $40k,1,2,0,0,0,0,2,0,1,0,2
27 to 37,Female,White,High school graduate,Not employed for pay,$50k to under $75k,1,1,0,0,0,0,1,0,0,1,1
27 to 37,Female,White,High school graduate,Not employed for pay,$100k to under $150k,5,2,0,0,1,0,1,0,1,1,2
27 to 37,Male,White,High school graduate,Disabled,Unknown,2,1,0,0,0,0,1,0,0,0,1
27 to 37,Female,White,College graduate,Employed part-time,$10k to under $20k,5,1,0,0,0,0,1,0,0,1,1
27 to 37,Female,White,College graduate,Employed part-time,$40k to under $50k,97,1,0,1,0,0,1,0,0,0,1
27 to 37,Female,White,College graduate,Employed part-time,$50k to under $75k,19,2,0,1,1,0,1,0,1,1,2
27 to 37,Male,White,College graduate,Employed part-time,$50k to under $75k,25,1,1,1,0,1,0,0,1,1,1
27 to 37,Female,White,College graduate,Employed part-time,$75k to under $100k,2,1,0,0,0,0,1,0,0,0,2
27 to 37,Female,White,College graduate,Employed part-time,$100k to under $150k,10,1,0,0,0,0,1,0,0,1,1
27 to 37,Female,White,College graduate,Employed full-time,$20k to under $30k,22,3,0,0,1,0,1,1,2,1,3
27 to 37,Male,White,College graduate,Employed full-time,$20k to under $30k,17,2,0,0,1,0,1,0,0,2,2
27 to 37,Female,White,College graduate,Employed full-time,$40k to under $50k,8,4,0,1,1,0,3,0,3,2,4
27 to 37,Male,White,College graduate,Employed full-time,$40k to under $50k,5,2,0,1,0,0,2,0,2,0,3
27 to 37,Female,White,College graduate,Employed full-time,$50k to under $75k,11,5,0,2,2,0,3,0,3,1,5
27 to 37,Male,White,College graduate,Employed full-time,$50k to under $75k,7,6,4,3,1,2,2,2,7,2,9
27 to 37,Female,White,College graduate,Employed full-time,$75k to under $100k,23,5,1,4,0,1,4,1,2,5,6
27 to 37,Male,White,College graduate,Employed full-time,$75k to under $100k,7,9,3,4,4,0,4,2,8,6,12
27 to 37,Female,White,College graduate,Employed full-time,$100k to under $150k,18,7,0,4,1,1,4,1,5,4,7
27 to 37,Male,White,College graduate,Employed full-time,$100k to under $150k,11,7,2,3,0,0,8,0,7,5,8
27 to 37,Female,White,College graduate,Employed full-time,Unknown,12,3,1,2,1,0,2,0,0,1,3
27 to 37,Male,White,College graduate,Employed full-time,Unknown,4,3,0,1,1,0,1,1,2,2,4
27 to 37,Female,White,College graduate,Not employed for pay,$10k to under $20k,8,2,1,1,0,0,2,0,1,0,2
27 to 37,Female,White,College graduate,Not employed for pay,$20k to under $30k,30,1,0,1,0,0,1,0,0,0,1
27 to 37,Male,White,College graduate,Not employed for pay,$20k to under $30k,40,1,0,1,0,0,1,0,1,0,1
27 to 37,Female,White,College graduate,Not employed for pay,$30k to under $40k,5,1,0,0,0,1,0,0,1,0,1
27 to 37,Male,White,College graduate,Not employed for pay,$30k to under $40k,3,1,0,0,1,0,0,0,1,0,1
27 to 37,Female,White,College graduate,Not employed for pay,$40k to under $50k,5,1,0,0,0,0,1,0,0,0,2
27 to 37,Female,White,College graduate,Not employed for pay,$50k to under $75k,15,5,2,4,1,0,2,2,3,3,5
27 to 37,Female,White,College graduate,Not employed for pay,$75k to under $100k,16,3,1,2,1,2,1,0,0,2,4
27 to 37,Female,White,College graduate,Not employed for pay,$100k to under $150k,19,2,1,2,1,0,0,1,1,2,2
27 to 37,Female,White,College graduate,Not employed for pay,Unknown,22,2,0,1,0,1,1,0,2,2,2
27 to 37,Male,White,Some college,Retired,$40k to under $50k,97,1,0,0,0,0,1,0,1,1,1
27 to 37,Male,White,Some college,Have own business/self-employed,$20k to under $30k,97,1,1,1,0,0,1,0,1,1,1
27 to 37,Female,White,Some college,Employed part-time,$10k to under $20k,17,2,0,0,1,0,1,0,0,0,2
27 to 37,Female,White,Some college,Employed part-time,$20k to under $30k,3,1,0,0,1,0,0,0,0,1,1
27 to 37,Male,White,Some college,Employed part-time,$30k to under $40k,20,2,0,0,0,0,1,1,1,2,2
27 to 37,Female,White,Some college,Employed part-time,$40k to under $50k,3,1,0,0,0,0,0,1,0,1,1
27 to 37,Female,White,Some college,Employed part-time,$50k to under $75k,1,0,1,1,0,0,1,0,1,0,1
27 to 37,Male,White,Some college,Employed part-time,$50k to under $75k,2,1,0,1,0,0,1,0,1,0,1
27 to 37,Female,White,Some college,Employed full-time,$10k to under $20k,33,3,1,2,1,0,2,0,1,1,3
27 to 37,Female,White,Some college,Employed full-time,$20k to under $30k,6,2,0,1,1,0,1,0,2,2,2
27 to 37,Male,White,Some college,Employed full-time,$20k to under $30k,15,1,0,0,0,0,1,0,0,0,2
27 to 37,Female,White,Some college,Employed full-time,$30k to under $40k,41,3,0,2,0,0,2,1,1,0,3
27 to 37,Male,White,Some college,Employed full-time,$30k to under $40k,4,1,0,1,0,0,1,0,0,0,1
27 to 37,Female,White,Some college,Employed full-time,$40k to under $50k,1,1,0,0,0,1,0,0,0,0,1
27 to 37,Female,White,Some college,Employed full-time,$50k to under $75k,7,4,0,1,1,1,2,0,1,2,4
27 to 37,Male,White,Some college,Employed full-time,$50k to under $75k,18,13,3,4,2,0,7,4,8,8,15
27 to 37,Female,White,Some college,Employed full-time,$75k to under $100k,20,1,0,1,0,0,1,0,1,0,1
27 to 37,Male,White,Some college,Employed full-time,$75k to under $100k,14,3,1,2,1,0,2,0,3,3,3
27 to 37,Female,White,Some college,Employed full-time,$100k to under $150k,30,2,2,2,0,0,1,1,2,0,2
27 to 37,Male,White,Some college,Employed full-time,$100k to under $150k,20,1,0,1,1,0,0,0,0,2,2
27 to 37,Male,White,Some college,Employed full-time,Unknown,50,1,1,1,0,0,1,0,1,1,1
27 to 37,Male,White,Some college,Not employed for pay,Less than $10k,1,1,1,1,0,1,0,0,0,0,1
27 to 37,Male,White,Some college,Not employed for pay,$10k to under $20k,30,1,0,0,0,0,1,0,1,0,1
27 to 37,Female,White,Some college,Not employed for pay,$30k to under $40k,2,1,0,0,0,0,0,1,0,0,1
27 to 37,Male,White,Some college,Not employed for pay,$30k to under $40k,4,1,0,0,0,0,1,0,1,0,1
27 to 37,Female,White,Some college,Not employed for pay,$50k to under $75k,16,5,1,3,1,0,4,0,3,2,5
27 to 37,Male,White,Some college,Not employed for pay,$50k to under $75k,5,1,0,0,1,0,0,0,0,1,1
27 to 37,Female,White,Some college,Not employed for pay,$75k to under $100k,97,1,0,1,0,0,1,0,0,1,1
27 to 37,Female,White,Some college,Not employed for pay,$100k to under $150k,10,1,0,0,0,0,1,0,1,1,1
27 to 37,Female,White,Some college,Other,$75k to under $100k,20,0,0,1,0,0,1,0,1,1,1
27 to 37,Male,White,Some college,Student,$50k to under $75k,20,1,0,1,0,0,1,0,1,0,1
27 to 37,Female,White,Some college,Disabled,$10k to under $20k,25,1,0,0,1,0,0,0,0,1,1
27 to 37,Male,White,Post-graduate training/professional school,Employed part-time,$40k to under $50k,10,1,0,0,0,0,0,1,1,1,1
27 to 37,Female,White,Post-graduate training/professional school,Employed part-time,$75k to under $100k,13,1,0,0,0,0,1,0,1,1,1
27 to 37,Female,White,Post-graduate training/professional school,Employed part-time,$100k to under $150k,50,2,1,1,1,0,1,0,2,0,2
27 to 37,Female,White,Post-graduate training/professional school,Employed part-time,Unknown,18,2,1,1,0,2,0,0,1,1,2
27 to 37,Female,White,Post-graduate training/professional school,Employed full-time,Less than $10k,2,1,0,0,1,0,0,0,1,0,1
27 to 37,Female,White,Post-graduate training/professional school,Employed full-time,$20k to under $30k,10,1,1,1,0,0,1,0,1,0,1
27 to 37,Female,White,Post-graduate training/professional school,Employed full-time,$30k to under $40k,22,2,0,0,0,0,1,1,2,1,2
27 to 37,Male,White,Post-graduate training/professional school,Employed full-time,$40k to under $50k,8,3,1,0,0,1,1,1,1,2,3
27 to 37,Female,White,Post-graduate training/professional school,Employed full-time,$50k to under $75k,57,3,0,2,0,0,3,0,1,2,3
27 to 37,Male,White,Post-graduate training/professional school,Employed full-time,$50k to under $75k,19,4,4,3,0,0,5,1,6,4,6
27 to 37,Female,White,Post-graduate training/professional school,Employed full-time,$75k to under $100k,33,7,2,3,1,1,4,1,5,4,7
27 to 37,Male,White,Post-graduate training/professional school,Employed full-time,$75k to under $100k,21,7,2,6,0,2,4,2,6,3,8
27 to 37,Female,White,Post-graduate training/professional school,Employed full-time,$100k to under $150k,13,7,1,3,2,0,4,1,5,4,7
27 to 37,Male,White,Post-graduate training/professional school,Employed full-time,$100k to under $150k,14,12,5,11,2,2,9,2,13,11,16
27 to 37,Male,White,Post-graduate training/professional school,Employed full-time,Unknown,13,3,0,1,0,0,2,1,3,3,3
27 to 37,Female,White,Post-graduate training/professional school,Not employed for pay,$30k to under $40k,29,3,2,1,1,1,2,0,3,2,4
27 to 37,Female,White,Post-graduate training/professional school,Not employed for pay,$100k to under $150k,8,1,0,1,0,0,1,0,1,1,1
27 to 37,Female,White,Post-graduate training/professional school,Student,$30k to under $40k,8,1,1,0,0,0,0,1,1,1,1
27 to 37,Male,White,Technical/trade/vocational school,Have own business/self-employed,$75k to under $100k,1,1,0,0,0,0,0,1,0,0,1
27 to 37,Female,White,Technical/trade/vocational school,Employed part-time,$30k to under $40k,50,1,1,1,0,0,0,1,0,1,1
27 to 37,Male,White,Technical/trade/vocational school,Employed full-time,$40k to under $50k,15,1,1,1,1,0,0,0,1,1,1
27 to 37,Male,White,Technical/trade/vocational school,Employed full-time,$100k to under $150k,6,1,0,0,0,0,0,1,1,1,1
27 to 37,Male,White,None,Employed full-time,$100k to under $150k,12,1,0,0,0,0,1,0,1,1,1
27 to 37,Male,White,None,Not employed for pay,$10k to under $20k,1,1,0,0,0,0,0,1,0,0,1
27 to 37,Female,Black or African-American,High school incomplete,Employed part-time,Less than $10k,2,1,0,0,1,0,0,0,0,0,1
27 to 37,Male,Black or African-American,High school incomplete,Employed full-time,Less than $10k,3,1,0,0,0,1,0,0,1,0,1
27 to 37,Male,Black or African-American,High school incomplete,Employed full-time,$10k to under $20k,3,1,0,0,1,0,0,0,0,0,1
27 to 37,Female,Black or African-American,High school incomplete,Not employed for pay,$20k to under $30k,5,1,0,1,0,1,0,0,1,1,1
27 to 37,Male,Black or African-American,High school incomplete,Not employed for pay,$100k to under $150k,3,1,0,0,1,0,0,0,0,0,1
27 to 37,Male,Black or African-American,High school graduate,Retired,$100k to under $150k,6,1,0,0,0,1,0,0,1,0,1
27 to 37,Male,Black or African-American,High school graduate,Have own business/self-employed,Unknown,5,1,1,1,1,0,0,0,0,1,1
27 to 37,Female,Black or African-American,High school graduate,Employed part-time,Less than $10k,48,1,0,1,1,0,0,0,0,0,2
27 to 37,Female,Black or African-American,High school graduate,Employed part-time,$10k to under $20k,8,0,0,1,1,0,0,0,0,1,1
27 to 37,Male,Black or African-American,High school graduate,Employed part-time,$20k to under $30k,4,1,0,0,0,1,0,0,1,1,1
27 to 37,Female,Black or African-American,High school graduate,Employed full-time,Less than $10k,45,1,0,0,0,0,1,0,1,1,1
27 to 37,Female,Black or African-American,High school graduate,Employed full-time,$20k to under $30k,1,1,0,0,1,0,0,0,0,1,1
27 to 37,Female,Black or African-American,High school graduate,Employed full-time,$30k to under $40k,20,1,0,0,0,0,0,1,1,1,1
27 to 37,Male,Black or African-American,High school graduate,Employed full-time,$30k to under $40k,5,1,0,0,1,0,0,0,0,0,1
27 to 37,Male,Black or African-American,High school graduate,Employed full-time,$40k to under $50k,6,1,0,1,0,0,0,1,1,1,1
27 to 37,Male,Black or African-American,High school graduate,Employed full-time,$100k to under $150k,9,1,0,0,1,0,0,0,1,1,1
27 to 37,Female,Black or African-American,High school graduate,Not employed for pay,Less than $10k,4,2,0,1,1,0,0,1,1,1,2
27 to 37,Male,Black or African-American,High school graduate,Not employed for pay,$20k to under $30k,4,1,0,0,0,0,1,0,1,0,1
27 to 37,Male,Black or African-American,High school graduate,Not employed for pay,$30k to under $40k,6,1,0,0,0,0,1,0,1,1,1
27 to 37,Male,Black or African-American,High school graduate,Not employed for pay,$100k to under $150k,4,1,0,0,1,0,0,0,1,1,1
27 to 37,Female,Black or African-American,High school graduate,Disabled,$20k to under $30k,5,0,0,0,1,0,0,0,1,0,1
27 to 37,Female,Black or African-American,College graduate,Employed part-time,$10k to under $20k,15,1,0,1,0,0,1,0,0,1,1
27 to 37,Male,Black or African-American,College graduate,Employed part-time,$20k to under $30k,30,1,1,0,0,0,1,0,1,1,1
27 to 37,Male,Black or African-American,College graduate,Employed full-time,$20k to under $30k,3,1,0,0,0,0,1,0,1,1,1
27 to 37,Female,Black or African-American,College graduate,Employed full-time,$30k to under $40k,6,3,0,1,1,0,2,0,2,0,3
27 to 37,Male,Black or African-American,College graduate,Employed full-time,$40k to under $50k,30,1,0,1,0,0,1,0,0,0,1
27 to 37,Female,Black or African-American,College graduate,Employed full-time,$50k to under $75k,7,1,0,0,1,0,0,0,0,1,1
27 to 37,Male,Black or African-American,College graduate,Employed full-time,$75k to under $100k,12,3,0,1,1,0,2,0,3,2,3
27 to 37,Male,Black or African-American,College graduate,Not employed for pay,$10k to under $20k,2,1,0,0,1,0,0,0,1,0,1
27 to 37,Female,Black or African-American,Some college,Employed part-time,$20k to under $30k,2,1,0,0,1,0,0,0,1,1,1
27 to 37,Female,Black or African-American,Some college,Employed part-time,$30k to under $40k,5,1,1,1,0,0,1,0,1,1,1
27 to 37,Female,Black or African-American,Some college,Employed part-time,$50k to under $75k,5,0,0,1,1,0,0,0,0,0,1
27 to 37,Male,Black or African-American,Some college,Employed full-time,$10k to under $20k,20,1,0,0,0,0,0,1,1,0,1
27 to 37,Male,Black or African-American,Some college,Employed full-time,$30k to under $40k,24,1,0,1,0,0,1,0,1,1,1
27 to 37,Male,Black or African-American,Some college,Employed full-time,$50k to under $75k,3,2,0,0,0,0,1,1,1,2,2
27 to 37,Female,Black or African-American,Some college,Employed full-time,Unknown,4,1,0,0,0,0,1,0,0,0,1
27 to 37,Female,Black or African-American,Some college,Not employed for pay,$20k to under $30k,8,2,0,0,0,1,0,1,0,1,2
27 to 37,Female,Black or African-American,Post-graduate training/professional school,Employed full-time,$50k to under $75k,50,1,0,0,0,0,1,0,0,0,1
27 to 37,Female,Black or African-American,Post-graduate training/professional school,Employed full-time,$100k to under $150k,11,2,1,1,0,1,1,0,0,2,2
27 to 37,Female,Black or African-American,Post-graduate training/professional school,Employed full-time,Unknown,6,1,0,1,0,0,0,1,1,1,1
27 to 37,Male,Black or African-American,Technical/trade/vocational school,Employed full-time,$75k to under $100k,6,1,0,0,0,0,1,0,1,1,1
27 to 37,Female,Black or African-American,Technical/trade/vocational school,Not employed for pay,$10k to under $20k,12,1,0,0,1,0,0,0,1,0,1
27 to 37,Female,Black or African-American,None,Employed full-time,Less than $10k,1,1,0,0,0,0,1,0,1,1,1
27 to 37,Male,Black or African-American,Unknown,Employed full-time,$50k to under $75k,20,1,0,0,0,0,1,0,0,0,1
27 to 37,Female,Mixed race,High school incomplete,Employed part-time,$40k to under $50k,2,1,0,0,0,0,1,0,0,0,1
27 to 37,Male,Mixed race,High school graduate,Employed full-time,Less than $10k,97,0,1,1,1,0,0,0,1,1,1
27 to 37,Male,Mixed race,High school graduate,Employed full-time,$20k to under $30k,2,1,0,0,0,0,0,1,2,0,2
27 to 37,Male,Mixed race,High school graduate,Employed full-time,$40k to under $50k,97,1,0,1,0,1,0,0,1,0,1
27 to 37,Male,Mixed race,College graduate,Employed full-time,$30k to under $40k,2,1,0,1,0,0,0,1,0,0,1
27 to 37,Male,Mixed race,College graduate,Employed full-time,$50k to under $75k,6,2,0,0,1,0,1,0,0,0,2
27 to 37,Female,Mixed race,Some college,Employed full-time,$40k to under $50k,10,1,1,1,0,0,1,0,1,1,1
27 to 37,Female,Mixed race,Some college,Employed full-time,$100k to under $150k,20,0,1,0,0,0,1,0,1,1,1
27 to 37,Male,Mixed race,Some college,Not employed for pay,$10k to under $20k,12,1,0,0,0,0,1,0,0,0,1
27 to 37,Male,Mixed race,Some college,Not employed for pay,$20k to under $30k,6,1,0,1,0,0,0,1,0,1,1
27 to 37,Male,Mixed race,Technical/trade/vocational school,Employed full-time,$20k to under $30k,1,1,0,0,0,0,0,1,1,1,1
27 to 37,Female,Mixed race,None,Not employed for pay,Less than $10k,4,0,1,1,1,0,0,0,1,1,1
27 to 37,Female,Unknown,High school graduate,Not employed for pay,$20k to under $30k,1,1,0,0,0,0,0,1,0,1,1
27 to 37,Female,Unknown,College graduate,Employed full-time,$50k to under $75k,15,1,1,0,0,1,0,0,1,1,1
27 to 37,Male,Unknown,College graduate,Employed full-time,$75k to under $100k,5,2,1,1,1,0,1,0,1,2,2
27 to 37,Female,Unknown,College graduate,Not employed for pay,$30k to under $40k,3,1,1,0,0,0,1,0,0,1,1
27 to 37,Male,Unknown,Some college,Employed full-time,Unknown,55,1,1,1,0,0,1,0,1,1,1
27 to 37,Female,Native American/American Indian,High school graduate,Employed full-time,$20k to under $30k,3,1,0,0,0,1,0,0,1,0,1
27 to 37,Male,Native American/American Indian,High school graduate,Employed full-time,$20k to under $30k,3,1,0,0,0,0,1,0,1,0,1
27 to 37,Male,Native American/American Indian,High school graduate,Employed full-time,$100k to under $150k,60,1,0,0,0,0,1,0,1,1,1
27 to 37,Female,Native American/American Indian,College graduate,Not employed for pay,Less than $10k,6,1,0,1,0,0,0,1,1,1,1
27 to 37,Female,Native American/American Indian,Some college,Employed full-time,$30k to under $40k,25,1,0,1,0,0,1,0,1,1,1
27 to 37,Female,Native American/American Indian,Some college,Not employed for pay,$50k to under $75k,50,1,0,0,1,0,0,0,1,1,1
27 to 37,Female,Asian or Pacific Islander,College graduate,Employed part-time,$100k to under $150k,3,1,0,1,0,0,1,0,1,0,1
27 to 37,Male,Asian or Pacific Islander,College graduate,Employed full-time,Less than $10k,30,1,1,0,0,0,0,1,1,1,1
27 to 37,Female,Asian or Pacific Islander,College graduate,Employed full-time,$50k to under $75k,10,0,0,0,1,0,0,0,0,0,1
27 to 37,Female,Asian or Pacific Islander,College graduate,Employed full-time,$100k to under $150k,5,1,1,1,0,1,0,0,0,1,1
27 to 37,Male,Asian or Pacific Islander,College graduate,Employed full-time,$100k to under $150k,3,0,0,1,0,0,1,0,1,0,1
27 to 37,Male,Asian or Pacific Islander,College graduate,Employed full-time,Unknown,2,1,0,0,0,1,0,0,1,1,1
27 to 37,Female,Asian or Pacific Islander,College graduate,Not employed for pay,Less than $10k,3,1,1,1,0,0,0,1,1,1,1
27 to 37,Male,Asian or Pacific Islander,Some college,Employed full-time,$40k to under $50k,3,0,0,1,0,0,0,1,0,1,1
27 to 37,Female,Asian or Pacific Islander,Some college,Employed full-time,$100k to under $150k,15,1,0,0,0,0,0,1,0,1,1
27 to 37,Male,Asian or Pacific Islander,Some college,Employed full-time,$100k to under $150k,4,1,0,0,0,0,0,1,1,1,1
27 to 37,Female,Asian or Pacific Islander,Some college,Student,$75k to under $100k,7,1,0,0,0,0,1,0,0,0,1
27 to 37,Male,Asian or Pacific Islander,Post-graduate training/professional school,Employed full-time,$30k to under $40k,8,1,0,0,0,1,0,0,1,1,1
27 to 37,Female,Asian or Pacific Islander,Post-graduate training/professional school,Employed full-time,$75k to under $100k,15,1,1,1,0,1,0,0,1,1,1
27 to 37,Male,Asian or Pacific Islander,Post-graduate training/professional school,Employed full-time,$75k to under $100k,4,1,1,2,1,0,1,0,2,0,2
27 to 37,Female,Asian or Pacific Islander,Post-graduate training/professional school,Employed full-time,$100k to under $150k,15,2,0,2,0,1,0,1,1,1,2
27 to 37,Male,Asian or Pacific Islander,Post-graduate training/professional school,Employed full-time,$100k to under $150k,16,1,0,1,0,0,1,0,0,0,1
27 to 37,Female,Asian or Pacific Islander,Post-graduate training/professional school,Employed full-time,Unknown,3,0,1,1,0,0,0,1,0,0,1
27 to 37,Male,Asian or Pacific Islander,Post-graduate training/professional school,Employed full-time,Unknown,1,1,0,0,1,0,0,0,1,0,1
27 to 37,Male,Other,High school graduate,Retired,Less than $10k,50,1,0,0,0,0,1,0,1,1,1
27 to 37,Male,Other,High school graduate,Not employed for pay,$20k to under $30k,25,1,0,1,0,1,0,0,0,0,1
27 to 37,Male,Other,High school graduate,Not employed for pay,$50k to under $75k,2,0,0,1,0,0,0,1,1,0,1
27 to 37,Female,Other,High school graduate,Not employed for pay,$100k to under $150k,4,1,0,0,1,0,0,0,1,1,1
27 to 37,Female,Other,College graduate,Employed part-time,$50k to under $75k,6,0,0,1,0,0,0,1,0,0,1
27 to 37,Female,Other,College graduate,Employed full-time,$100k to under $150k,15,1,1,1,0,0,1,0,1,0,1
27 to 37,Female,Other,Post-graduate training/professional school,Employed full-time,$75k to under $100k,30,1,1,1,0,0,1,0,0,0,1
27 to 37,Female,Other,Post-graduate training/professional school,Not employed for pay,$100k to under $150k,15,1,0,0,0,0,1,0,1,1,1
27 to 37,Female,Other,Technical/trade/vocational school,Not employed for pay,$20k to under $30k,10,1,0,0,0,0,1,0,0,1,1
38 to 48,Male,White,High school incomplete,Employed part-time,$40k to under $50k,12,1,1,0,1,0,0,0,1,1,1
38 to 48,Female,White,High school incomplete,Employed full-time,$20k to under $30k,2,1,0,0,1,0,0,0,0,1,1
